read_at,city,shop_id,name,day,hour,weekday,locker_type,free,min_qta,price_1h,status
2026-09-25 14:17,milan,47,Duomo District,2026-09-25,15,weekday,Small,0,0,1.49,read
2026-09-25 14:17,milan,47,Duomo District,2026-09-25,15,weekday,Standard,9,5,2.49,read
2026-09-25 14:17,milan,47,Duomo District,2026-09-25,15,weekday,Maxi,2,2,3.49,read
2026-09-25 14:17,bologna,48,Sant'Orsola Hospital,2026-09-25,15,weekday,Small,29,5,0.99,read
2026-09-25 14:17,bologna,48,Sant'Orsola Hospital,2026-09-25,15,weekday,Standard,10,5,1.49,read
2026-09-25 14:17,bologna,48,Sant'Orsola Hospital,2026-09-25,15,weekday,Maxi,10,5,1.49,read
2026-09-25 14:17,venice,51,Rialto Bridge,2026-09-25,15,weekday,Small,11,5,1.49,read
2026-09-25 14:17,venice,51,Rialto Bridge,2026-09-25,15,weekday,Standard,26,5,2.49,read
2026-09-25 14:17,venice,51,Rialto Bridge,2026-09-25,15,weekday,Maxi,21,5,2.99,read
2026-09-25 14:17,parma,50,Parma Train Station,2026-09-25,15,weekday,Small,28,5,2.99,read
2026-09-25 14:17,parma,50,Parma Train Station,2026-09-25,15,weekday,Standard,28,5,2.99,read
2026-09-25 14:17,parma,50,Parma Train Station,2026-09-25,15,weekday,Maxi,28,5,2.99,read
2026-09-25 14:17,bologna,56,Piazza Maggiore | City Center,2026-09-25,15,weekday,Small,19,5,1.49,read
2026-09-25 14:17,bologna,56,Piazza Maggiore | City Center,2026-09-25,15,weekday,Standard,36,5,2.49,read
2026-09-25 14:17,bologna,56,Piazza Maggiore | City Center,2026-09-25,15,weekday,Maxi,30,5,3.49,read
2026-09-25 14:17,milan,59,Porta Garibaldi Train Station,2026-09-25,15,weekday,Small,11,5,1.49,read
2026-09-25 14:17,milan,59,Porta Garibaldi Train Station,2026-09-25,15,weekday,Standard,30,5,2.49,read
2026-09-25 14:17,milan,59,Porta Garibaldi Train Station,2026-09-25,15,weekday,Maxi,28,5,3.49,read
