day,city,area,points,capacity,peak,peak_pct,carry_in,bags_in,deposits
2026-09-23,trieste,trieste-train-station,6,200,4,2.0,4,0,2.0
2026-09-23,turin,allianz-stadium,1,100,0,0.0,0,0,0.0
2026-09-23,turin,aurora,1,20,0,0.0,0,0,0.0
2026-09-23,turin,barriera-di-milano,3,40,0,0.0,0,0,0.0
2026-09-23,turin,cenisia,2,110,3,2.7,3,0,1.5
2026-09-23,turin,cit-turin,1,300,0,0.0,0,0,0.0
2026-09-23,turin,city-center,2,65,0,0.0,0,0,0.0
2026-09-23,turin,crocetta,1,25,0,0.0,0,0,0.0
2026-09-23,turin,egyptian-museum,1,75,0,0.0,0,0,0.0
2026-09-23,turin,galleria-sabauda,1,20,0,0.0,0,0,0.0
2026-09-23,turin,lingotto,4,100,0,0.0,0,0,0.0
2026-09-23,turin,lingotto-fiere,1,50,0,0.0,0,0,0.0
2026-09-23,turin,museo-pietro-micca,1,95,2,2.1,2,0,1.0
2026-09-23,turin,national-cinema-museum,1,30,0,0.0,0,0,0.0
2026-09-23,turin,palazzo-reale,1,30,0,0.0,0,0,0.0
2026-09-23,turin,parco-del-valentino,1,10,0,0.0,0,0,0.0
2026-09-23,turin,piazza-castello,1,55,0,0.0,0,0,0.0
2026-09-23,turin,piazza-statuto,1,40,0,0.0,0,0,0.0
2026-09-23,turin,piazza-vittorio-veneto,1,20,1,5.0,1,0,0.5
2026-09-23,turin,porta-palazzo-market,1,100,0,0.0,0,0,0.0
2026-09-23,turin,quadrilatero,1,25,0,0.0,0,0,0.0
2026-09-23,turin,quadrilatero-romano,1,50,0,0.0,0,0,0.0
2026-09-23,turin,santa-rita,1,35,0,0.0,0,0,0.0
2026-09-23,turin,stazione-porta-nuova,10,405,4,1.0,4,0,2.0
2026-09-23,turin,torino-dora,1,50,0,0.0,0,0,0.0
2026-09-23,turin,torino-porta-susa,3,65,1,1.5,1,0,0.5
2026-09-23,turin,torino-via-roma,1,10,0,0.0,0,0,0.0
2026-09-23,udine,udine-train-station,1,20,1,5.0,1,0,0.5
2026-09-23,venice,accademia-gallery,1,65,0,0.0,0,0,0.0
2026-09-23,venice,biennale,1,50,1,2.0,1,0,0.5
2026-09-23,venice,brondolo,1,200,0,0.0,0,0,0.0
2026-09-23,venice,cannaregio,3,150,3,2.0,3,0,1.5
2026-09-23,venice,city-center,2,70,0,0.0,0,0,0.0
2026-09-23,venice,dorsoduro,1,60,7,11.7,7,0,3.5
2026-09-23,venice,giudecca,1,25,0,0.0,0,0,0.0
2026-09-23,venice,peggy-guggenheim-collection,1,40,0,0.0,0,0,0.0
2026-09-23,venice,piazzale-roma,2,155,12,7.7,12,0,6.0
2026-09-23,venice,rialto,2,330,0,0.0,0,0,0.0
2026-09-23,venice,san-marco,2,70,0,0.0,0,0,0.0
2026-09-23,venice,san-polo,2,130,0,0.0,0,0,0.0
2026-09-23,venice,santa-croce,1,20,0,0.0,0,0,0.0
2026-09-23,venice,santa-lucia-station,2,240,31,12.9,31,0,15.5
