seen_on,city,area,storage_id,name,lat,lng,capacity,is_locker,open_24_7,reviews,rating,price_eur
2026-09-23,rome,vittorio-emanuele,6458310,Luggage Storage Via Napoleone III,41.8966024,12.502089,20,False,False,1,4.5,5.0
2026-09-23,rome,primavalle,6458086,Luggage Storage Cannuta / Battistini,41.9013935,12.4152678,30,False,False,3,4.8,5.0
2026-09-23,rome,repubblica,6458063,Luggage Storage Largo del Tritone,41.9025244,12.4848425,50,False,False,24,4.7,5.0
2026-09-23,rome,Quartiere-IX-appio-latino,6458036,Luggage Storage Re Di Roma,41.88035829253605,12.513692490749712,35,False,False,67,4.92,5.0
2026-09-23,rome,repubblica,6457946,Luggage Storage near Church of Santa Maria della Vittoria,41.9030824,12.4934025,35,False,False,17,4.8,5.0
2026-09-23,rome,rione-ix-pigna,6457939,Luggage Storage near Trevi Fountain,41.9013687,12.4825617,50,False,False,37,4.88,5.0
2026-09-23,rome,monti,6457898,Luggage Storage Vittorio Emanuele Metro Station,41.8948152,12.5015055,35,False,False,31,4.78,5.0
2026-09-23,rome,castel-sant-angelo,6457822,Luggage Storage near Sant'Angelo Castle,41.90513170000001,12.4684424,60,False,False,362,4.77,5.0
2026-09-23,rome,termini,6457601,Luggage Storage Amedeo / Termini,41.898729,12.5006571,20,False,False,5,3.8,5.0
2026-09-23,rome,esquilino,6457599,Luggage Storage Nuovo Mercato Esquilino,41.8951483,12.5091882,35,False,False,17,4.76,5.0
2026-09-23,rome,vatican,6457407,Luggage Storage Ottaviano Metro Station,41.90853180000001,12.4555521,15,False,False,12,4.47,5.0
2026-09-23,rome,termini,6457349,Luggage Storage Termini Metro Station,41.9030355,12.502664,45,False,True,72,4.81,5.0
2026-09-23,rome,rione-ix-pigna,6457335,Luggage Storage Navona Square,41.8999558,12.4754812,30,False,False,48,4.78,5.0
2026-09-23,rome,rione-ix-pigna,6457288,Luggage Storage Largo di Torre Argentina,41.89520539999999,12.4775661,20,False,False,3,5,5.0
2026-09-23,rome,esquilino,6457222,Luggage Storage Roma Porta Maggiore,41.8912741,12.519346,20,False,False,2,5,5.0
2026-09-23,rome,esquilino,6457220,Luggage Storage Lodi Metro Station,41.886243,12.5179157,40,False,False,2,3.5,5.0
2026-09-23,rome,esquilino,6457185,Luggage Storage Basilica of San Giovanni in Laterano,41.8874876,12.505561,35,False,False,35,4.5,5.0
2026-09-23,rome,monti,6457181,Luggage Storage Roma Colosseo,41.88994400000001,12.4946326,25,False,False,65,4.79,5.0
2026-09-23,rome,monti,6457113,Luggage Storage Urbana / Panisperna,41.8973705,12.4948747,20,False,False,8,4.5,5.0
2026-09-23,rome,monti,6457108,Luggage Storage Roma Monti,41.8952916,12.4931867,35,False,False,53,4.54,5.0
2026-09-23,rome,termini,6457058,Luggage Storage Basilica of Saint Pudentiana,41.8969187,12.4957325,40,False,False,3,4.75,5.0
2026-09-23,rome,quartiere-xv-della-vittoria,6457040,Luggage Storage Piazzale Clodio,41.9171778,12.4558843,20,False,False,7,5,5.0
2026-09-23,rome,san-giovanni,6457022,Luggage Storage Magna Grecia/Tuscolo,41.8813729,12.5079397,35,False,False,11,4.67,5.0
2026-09-23,rome,pantheon,6456917,Luggage Storage Giubbonari / Cairoli,41.8942556,12.4741964,20,False,False,3,4.8,5.0
2026-09-23,rome,piazza-campo-de-fiori,6456889,Luggage Storage Via Dei Giubbonari,41.89441559999999,12.4741782,25,False,False,3,4.84,5.0
